country,degree_raw,closeness_raw,betweenness_raw,eigenvector_raw,pagerank_raw,degree_norm,closeness_norm,betweenness_norm,eigenvector_norm,pagerank_norm,composite_score,rank,is_hub,is_broker,role
Lebanon,9,0.002583979328165375,86.4900658423081,0.07362272238908363,0.009228339117642858,0.26666666666666666,0.0016202923516708486,0.03549281994591706,0.07362272238908361,0.3104266570564135,0.13756583168195033,50,FALSE,FALSE,Peripheral
Finland,10,0.0023148148148148147,149.52736634280754,0.020311536029423302,0.008419562771442414,0.3,0.0013508677759885488,0.061361357965302475,0.020311536029423292,0.27749474760604365,0.1321037018753516,51,FALSE,FALSE,Peripheral
Armenia,11,0.002457002457002457,84.2183761608405,0.02241035911927103,0.007920977610329418,0.3333333333333333,0.0014931927975406236,0.03456058949780604,0.022410359119271018,0.2571932619651643,0.12979814734262307,52,FALSE,FALSE,Peripheral
Bosnia & Herzegovina,10,0.0022522522522522522,4.182872682872682,0.056299536474953844,0.008138299765000969,0.3,0.0012882447665056361,0.001716520221646917,0.05629953647495383,0.2660422268895527,0.12506930567053182,53,FALSE,FALSE,Peripheral
Kazakhstan,11,0.00234192037470726,9.141560134052392,0.023949130482312977,0.007616914560554029,0.3333333333333333,0.00137799952482775,0.003751410577652491,0.023949130482312966,0.244812364737583,0.1214448477311419,54,FALSE,FALSE,Peripheral
Croatia,10,0.002577319587628866,14.726300466838802,0.043311713856982355,0.007635153387707912,0.3,0.0016136261766024204,0.006043213470226162,0.04331171385698234,0.24555501677869965,0.11930471405650211,55,FALSE,FALSE,Peripheral
Czechia,10,0.002680965147453083,33.99440765950238,0.04715970908338299,0.007237467340317326,0.3,0.001717371877064149,0.013950242475553922,0.047159709083382975,0.22936196048585838,0.11843785678437188,56,FALSE,FALSE,Peripheral
Albania,10,0.0027548209366391185,25.74284464763517,0.053924380758959466,0.0071104728284531685,0.3,0.0017912990245006056,0.010564058901748281,0.05392438075895945,0.22419097374143665,0.11809414248532898,57,FALSE,FALSE,Peripheral
Honduras,6,0.002506265664160401,4.669264203538397,0.2764637462356489,0.004853108759630599,0.16666666666666666,0.0015425036020001695,0.0019161201005241549,0.2764637462356489,0.13227519324139808,0.1157728459692476,58,FALSE,FALSE,Peripheral
Thailand,7,0.002583979328165375,47.79345404213646,0.15437904479176223,0.006034034384834125,0.2,0.0016202923516708486,0.019612939849112998,0.15437904479176223,0.18036034798105646,0.11119452499472052,59,FALSE,FALSE,Peripheral
Nicaragua,6,0.002145922746781116,3.6652750922912207,0.23633320738330135,0.004885658293277784,0.16666666666666666,0.0011818125272127886,0.0015041143469601873,0.23633320738330135,0.13360055135771373,0.10785727045637095,60,FALSE,FALSE,Peripheral
Malaysia,7,0.0029069767441860465,105.3270328470014,0.1153367267432035,0.005945846192182729,0.2,0.001943601842489608,0.04322292249253479,0.11533672674320349,0.1767694843404082,0.10745454708372722,61,FALSE,FALSE,Peripheral
Belarus,9,0.00228310502283105,3.623228568816803,0.022457779296342958,0.007552125214709564,0.26666666666666666,0.0013191273465246068,0.0014868597678071296,0.022457779296342947,0.24217425980199453,0.10682093857586716,62,FALSE,FALSE,Peripheral
Romania,9,0.0026666666666666666,20.007561065862202,0.050208399888438796,0.006341561794135499,0.26666666666666666,0.0017030595813204508,0.008210477764721714,0.05020839988843878,0.1928823076602651,0.10393418231228253,63,FALSE,FALSE,Peripheral
Slovakia,9,0.0026595744680851063,9.531087820650825,0.04608515418413519,0.006521106909443419,0.26666666666666666,0.0016959605303731114,0.003911260566315869,0.046085154184135176,0.20019305989399974,0.10371042036829811,64,FALSE,FALSE,Peripheral
Saudi Arabia,7,0.0022935779816513763,6.802365227365229,0.055525542392175796,0.007717430286498711,0.2,0.0013296104241457254,0.002791478094853515,0.05552554239217578,0.24890518322899827,0.10171036282803467,65,FALSE,FALSE,Peripheral
Switzerland,7,0.0028735632183908046,140.78434330145907,0.05329177160250828,0.006033230020028713,0.2,0.0019101560330945639,0.0577734945550079,0.05329177160250827,0.18032759570156492,0.09866060357843512,66,FALSE,FALSE,Peripheral
Uzbekistan,9,0.0023148148148148147,4.04453038791274,0.019369825773336145,0.006458993367017529,0.26666666666666666,0.0013508677759885488,0.001659748867409882,0.019369825773336135,0.19766390883212615,0.09734220358310547,67,FALSE,FALSE,Peripheral
Azerbaijan,9,0.0023148148148148147,3.275390682588825,0.019902210136031547,0.006412431298623638,0.26666666666666666,0.0013508677759885488,0.0013441179702836168,0.019902210136031537,0.1957679856546331,0.0970063696407207,68,FALSE,FALSE,Peripheral
Kyrgyzstan,9,0.0022988505747126436,2.2853322331263506,0.017341423516112862,0.0064153311113393525,0.26666666666666666,0.0013348881114998057,9.378289249408383e-4,0.017341423516112852,0.19588606078161422,0.09643337360016686,69,FALSE,FALSE,Peripheral
Pakistan,6,0.0022675736961451248,26.601729400867328,0.06150130515493634,0.007357885409895274,0.16666666666666666,0.0013035810137259414,0.010916518361732304,0.06150130515493633,0.23426516639953193,0.09493064751931864,70,FALSE,FALSE,Peripheral
Hungary,8,0.0026666666666666666,33.67763374714023,0.04078899299820535,0.0060325677619816834,0.23333333333333334,0.0017030595813204508,0.013820248362061945,0.040788992998205334,0.18030062975215258,0.09398925280541473,71,FALSE,FALSE,Peripheral
United Arab Emirates,7,0.0023148148148148147,20.381586457816788,0.04080556454375832,0.006554151064533628,0.2,0.0013508677759885488,0.008363966096156783,0.040805564543758305,0.20153855810052745,0.09041179130328622,72,FALSE,FALSE,Peripheral
